Designator,Mid X,Mid Y,Rotation,Layer
C1,30.9,-66.862755,90.0,top
C2,60.15,-66.862755,90.0,top
C3,89.4,-66.862755,90.0,top
C4,29.3,-50.137246,270.0,top
C5,58.55,-50.137246,270.0,top
C6,87.8,-50.137245,270.0,top
C7,30.9,-32.762755,90.0,top
C8,60.15,-32.762755,90.0,top
C9,89.4,-32.762755,90.0,top
D1,42.0,-16.0,0.0,top
J1,60.0,-19.7,180.0,top
J2,46.3,-67.1,90.0,top
J3,76.05,-67.1,90.0,top
J4,42.3,-49.9,270.0,top
J5,72.05,-49.9,270.0,top
J6,46.3,-33.2,90.0,top
J7,76.05,-33.0,90.0,top
J8,60.0,-80.2,180.0,top
R1,45.4,-16.0,180.0,top
